produit,%_sur_total_autres_portsfrancs_from_France.csv
Étoffes de laine,27.632396222135856
Étoffes de soie,6.645761031203217
Blé et autres grains comestibles,5.227930640079109
Vins divers,4.85850349310988
Huile d'olive à manger,4.373053005429751
Animaux,3.8264277260046304
"Mousseline, basin et nankin",3.5286499022117064
Combustibles dont charbons et bois,3.313031237879405
Mercerie,3.0357467607211492
Soieries diverses,2.811713859279214
Étoffes diverses,2.309186745394084
Dorure,2.2898040966223085
Rubanerie et passementerie de soie,2.2597078456693476
"Cuirs, peaux et pelleterie",1.9839607219307893
Toiles de chanvre et de lin,1.9085089310228025
Toiles diverses,1.7859370325941817
Fruits secs et noix,1.3992042776246507
Eaux-de-vie et liqueurs,1.3630066837488037
Dentelles,1.133075364543588
Chapeaux hors paille et écorce,1.1076746666826427
