produit,france_to_dunkerque
Eaux-de-vie et liqueurs,1048964.37323838
Dentelles,301086.0
Tabac,223132.796
Toiles de chanvre et de lin,214713.0
Sel,188962.19208288
Beurre,157041.500173
Savon,128373.5
Étoffes de laine,120627.0
Fils divers,117080.0
Vins divers,110470.07564091001
Produits inconnus,104581.0
Fruits secs et noix,91657.57055396
Combustibles dont charbons et bois,88857.0
Toiles de coton,81356.0
Laines non transformées diverses,76107.2976
Ouvrages divers et mélangés,72803.0
Drogues diverses,58751.99982
Huile d'olive à manger,58733.20032114
Toiles diverses,51360.0
Chapeaux hors paille et écorce,47288.0
