categorie,produit
Boissons alcoolisées,"Bière, cidre et vinaigre"
Boissons alcoolisées,Eaux-de-vie et liqueurs
Boissons alcoolisées,Vin de liqueurs
Boissons alcoolisées,Vins de Bordeaux
Boissons alcoolisées,Vins divers
Produits coloniaux,Cacao et chocolat
Produits coloniaux,Café
Produits coloniaux,Cannelle
Produits coloniaux,Cochenille
Produits coloniaux,Coton non transformé
Produits coloniaux,Denrées coloniales et épiceries diverses
Produits coloniaux,Indigo
Produits coloniaux,Quinquina
Produits coloniaux,Sucre
Produits coloniaux,Tabac
Produits coloniaux,Thé
Produits coloniaux,Girofle
Produits coloniaux,Muscades
Soieries,Bonneterie de soie
Soieries,Châles et mouchoirs de soie
Soieries,Châles et mouchoirs hors soie
Soieries,Dentelles
Soieries,Étoffes de soie
Soieries,"Filoselle, fleuret et bourre de soie"
Soieries,"Mousseline, basin et nankin"
Soieries,Rubanerie et passementerie de soie
Soieries,Rubanerie et passementerie diverse
Soieries,Soie
Soieries,Soieries diverses
