partner,ratio_terre_mer,somme_mer,somme_terre
Espagne,0.8176614411045592,56852000.0,12678000.0
Portugal,1.0,7297000.0,0
États du Roi de Sardaigne,0.4770605671813476,10783000.0,11820000.0
République de Gênes,1.0,24147000.0,0
Milanès et Toscane,1.0,23328000.0,0
Naples et Sicile,1.0,14186000.0,0
Rome et Venise,1.0,10356000.0,0
"Angleterre, Ecosse et Irlande",1.0,59748000.0,0
Hollande,1.0,119592000.0,0
Villes Anséatiques,1.0,90958000.0,0
"États de l'Empereur, en Flandre et Allemagne",0.649578073313981,48111000.0,25954000.0
Allemagne et Pologne,0.0,0,67278000.0
"Suisse, ses Alliées et Genève",0.0,0,53351000.0
Danemarck et Norwège,1.0,9222000.0,0
Suède,1.0,3935000.0,0
Prusse,1.0,12549000.0,0
Russie,1.0,4569000.0,0
États-Unis d'Amérique,1.0,5622000.0,0
Le Levant et l'Empire Ottoman,1.0,47852000.0,0
Saint-Domingue,1.0,32341000.0,0
Martinique,1.0,14745000.0,0
Guadeloupe,1.0,4382000.0,0
Cayenne et Guyanne,1.0,808000.0,0
Tabago et Sainte-Lucie,1.0,286000.0,0
Traite des noirs et de la gomme,1.0,9918000.0,0
"Isles de France, de la Réunion et Mozambique",1.0,9121000.0,0
Etats de l'Inde,1.0,7191000.0,0
La Chine,1.0,2187000.0,0
La Morue à Terre-Neuve,1.0,1338000.0,0
"La Baleine, au Groënland, au Bresil et Madagascar",1.0,41000.0,0
Pêches sur nos côtes Hareng (simple apperçu),1.0,57000.0,0
Pêches sur nos côtes Maquereaux (simple apperçu),1.0,93000.0,0
