destination_uhgs_id,nb_ships_cereales,nb_ships_produits coloniaux,nb_ships_alcools,nb_ships_chauffage,nb_ships_tissus,nb_ships_divers,nb_ships_alimentation,nb_ships_sans categorie,sum_tonnage_cereales,sum_tonnage_produits coloniaux,sum_tonnage_alcools,sum_tonnage_chauffage,sum_tonnage_tissus,sum_tonnage_divers,sum_tonnage_alimentation,sum_tonnage_sans categorie,sum_tonnage_per_product_cereales,sum_tonnage_per_product_produits coloniaux,sum_tonnage_per_product_alcools,sum_tonnage_per_product_chauffage,sum_tonnage_per_product_tissus,sum_tonnage_per_product_divers,sum_tonnage_per_product_alimentation,sum_tonnage_per_product_sans categorie,nb_ships_total,sum_tonnage_total,sum_tonnage_per_product_total,departure_uhgs_id,departure_fr
A0041886,2.0,0.0,0.0,0.0,5.0,1.0,18.0,3.0,80.0,0.0,0.0,0.0,180.0,20.0,516.0,100.0,40.0,0.0,0.0,0.0,80.0,20.0,332.7,43.3,29,896.0,516.0,A0204180,Dunkerque
A0046492,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1,60.0,60.0,A0204180,Dunkerque
A0049808,10.0,18.0,0.0,0.0,32.0,16.0,30.0,4.0,625.0,1824.0,0.0,0.0,2331.0,653.0,1332.0,191.0,419.7,681.0,0.0,0.0,1212.7,312.3,866.3,78.0,110,6956.0,3570.0,A0204180,Dunkerque
A0079352,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1143.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,885.5,0.0,57.5,0.0,0.0,0.0,9,1258.0,943.0,A0204180,Dunkerque
A0232521,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,2,400.0,200.0,A0204180,Dunkerque
A0251183,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,430.0,130.0,350.0,0.0,0.0,0.0,0.0,0.0,165.0,65.0,250.0,0.0,6,910.0,480.0,A0204180,Dunkerque
A0360085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,1,240.0,240.0,A0204180,Dunkerque
A0364551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,300.0,150.0,A0204180,Dunkerque
A0374720,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,155.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,142.5,0.0,0.0,0.0,12.5,0.0,100.0,0.0,7,280.0,255.0,A0204180,Dunkerque
A0618784,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,272.0,0.0,5,468.0,378.0,A0204180,Dunkerque
A0620777,1.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,270.0,0.0,125.0,0.0,0.0,519.0,469.0,0.0,270.0,0.0,125.0,0.0,0.0,350.5,300.5,0.0,12,1383.0,1046.0,A0204180,Dunkerque
A0622825,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,2,200.0,100.0,A0204180,Dunkerque
A0624785,3.0,2.0,2.0,0.0,21.0,17.0,49.0,1.0,120.0,110.0,146.0,0.0,1085.0,853.0,2578.0,50.0,80.0,76.7,146.0,0.0,508.3,460.7,1622.3,25.0,95,4942.0,2919.0,A0204180,Dunkerque
A0624934,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,90.0,0.0,106.0,0.0,196.0,0.0,0.0,0.0,45.0,0.0,53.0,0.0,98.0,0.0,4,392.0,196.0,A0204180,Dunkerque
A0627935,2.0,0.0,2.0,0.0,6.0,3.0,8.0,0.0,110.0,0.0,140.0,0.0,370.0,291.0,647.0,0.0,83.3,0.0,140.0,0.0,171.7,145.5,428.5,0.0,21,1558.0,969.0,A0204180,Dunkerque
A0691896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,1,70.0,70.0,A0204180,Dunkerque
A0743522,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,170.0,0.0,435.0,0.0,56.7,0.0,0.0,0.0,56.7,0.0,321.7,0.0,5,775.0,435.0,A0204180,Dunkerque
A0912818,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,11.7,0.0,0.0,0.0,3,105.0,35.0,A0204180,Dunkerque
A1054071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,1,150.0,150.0,A0204180,Dunkerque
A1086867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0,12.0,A0204180,Dunkerque
A1964976,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,134.0,0.0,0.0,0.0,94.0,0.0,40.0,0.0,67.0,0.0,0.0,0.0,47.0,0.0,20.0,0.0,10,268.0,134.0,A0204180,Dunkerque
B0000056,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,3,360.0,120.0,A0204180,Dunkerque
B2827324,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,0.0,0.0,0.0,2,700.0,350.0,A0204180,Dunkerque
