Nom port,nombre de départ,dont vers l'angleterre,% départs vers angleterre,nombre de bateaux anglais,% bateaux anglais avec départ angleterre,tonnage bateaux vers angleterre,tonnage des bateaux anglais vers angleterre,% tonnage anglais vers angleterre
Omonville,33,33,100.0,0,0.0,78,0,0.0
Diélette,103,97,94.1747572815534,92,94.84536082474226,226,198,87.61061946902655
Calais,1106,973,87.9746835443038,814,83.65878725590956,18543,18432,99.40139136062126
Boulogne-sur-Mer,1755,1539,87.6923076923077,1472,95.64652371669915,11723,9946,84.8417640535699
Roscoff,221,145,65.61085972850678,142,97.93103448275862,1714,1649,96.20770128354725
Dunkerque,2144,1287,60.02798507462687,1245,96.73659673659674,35158,32749,93.14807440696285
Port-Bail,225,69,30.666666666666664,60,86.95652173913044,204,137,67.15686274509804
Socoa,23,7,30.434782608695656,0,0.0,1380,0,0.0
Dieppe,523,145,27.724665391969406,143,98.62068965517241,7004,6825,97.44431753283837
Saint-Malo,802,159,19.825436408977556,63,39.62264150943396,9986,1165,11.666332866012418
Granville,469,92,19.616204690831555,46,50.0,7862,450,5.723734418722971
Le Croisic,214,40,18.69158878504673,23,57.49999999999999,3770,2848,75.54376657824933
Gravelines,28,5,17.857142857142858,4,80.0,293,194,66.21160409556313
Fécamp,170,25,14.705882352941178,14,56.00000000000001,1625,997,61.353846153846156
Saint-Valéry-sur-Somme,240,27,11.25,25,92.5925925925926,1973,1928,97.71920932589964
Le Havre,2349,212,9.025117071094083,200,94.33962264150944,24300,22472,92.47736625514403
Ars-en-Ré,381,32,8.398950131233596,30,93.75,3864,3666,94.87577639751554
Mortagne,13,1,7.6923076923076925,1,100.0,105,105,100.0
Le Pouliguen,85,6,7.0588235294117645,2,33.33333333333333,316,126,39.87341772151899
Bordeaux,2063,143,6.931652932622395,134,93.7062937062937,18739,17129,91.40829286514756
Le Tréport,32,2,6.25,2,100.0,278,278,100.0
Cherbourg,577,36,6.239168110918544,35,97.22222222222221,3151,3149,99.9365280863218
Saint-Valéry-en-Caux,101,6,5.9405940594059405,6,100.0,378,378,100.0
Le Crotoy,17,1,5.88235294117647,0,0.0,28,0,0.0
Saint-Pierre-et-Miquelon,121,6,4.958677685950414,2,33.33333333333333,250,50,20.0
Noirmoutier,263,13,4.942965779467681,11,84.61538461538461,1562,1507,96.47887323943662
Tonnay-Charente,741,36,4.8582995951417,33,91.66666666666666,3976,3646,91.70020120724345
Mesquer,24,1,4.166666666666666,0,0.0,50,0,0.0
Rouen,1943,78,4.014410705095214,75,96.15384615384616,5058,4880,96.48082245947015
Lorient,1095,39,3.5616438356164384,36,92.3076923076923,3909,2452,62.72704016372474
Barfleur,41,1,2.4390243902439024,0,0.0,18,0,0.0
Rochefort,441,10,2.2675736961451247,10,100.0,1164,1164,100.0
Saint-Martin-de-Ré,456,8,1.7543859649122806,8,100.0,821,821,100.0
La Perrotine,72,1,1.3888888888888888,0,0.0,30,0,0.0
Nantes,1355,16,1.1808118081180812,16,100.0,1452,1452,100.0
Harfleur,101,1,0.9900990099009901,0,0.0,70,0,0.0
Bayonne,653,6,0.9188361408882083,4,66.66666666666666,757,630,83.22324966974901
Honfleur,690,6,0.8695652173913043,2,33.33333333333333,620,220,35.483870967741936
Les Sables-d'Olonne,212,1,0.4716981132075472,1,100.0,40,40,100.0
La Rochelle,1160,4,0.3448275862068966,3,75.0,770,710,92.20779220779221
Marennes,1170,4,0.3418803418803419,3,75.0,410,350,85.36585365853658
Quillebeuf,300,1,0.33333333333333337,0,0.0,20,0,0.0
Brest,520,1,0.19230769230769232,1,100.0,50,50,100.0
Marans,560,1,0.17857142857142858,1,100.0,105,105,100.0
